"AGENT","MACRO","PROBABILITY","INFORMATION"
0,0,0.000000953674316,1.000000000000526
0,1,0.000018119812012,0.730490029637688
0,2,0.000163078308105,0.556354748207307
0,3,0.000924110412598,0.420381369956479
0,4,0.003696441650391,0.310554679639408
0,5,0.011089324951172,0.221283574167984
0,6,0.025875091552734,0.149381764385544
0,7,0.048053741455078,0.092849024600858
0,8,0.072080612182617,0.050371822346592
0,9,0.088098526000977,0.021083097539052
0,10,0.088098526000977,0.004436148850210
0,11,0.072080612182617,0.000137008773970
0,12,0.048053741455078,0.008111622244938
0,13,0.025875091552734,0.028497953965975
0,14,0.011089324951172,0.061660812764320
0,15,0.003696441650391,0.108233599603459
0,16,0.000924110412598,0.169200015067530
0,17,0.000163078308105,0.246046134180542
0,18,0.000018119812012,0.341055836101047
0,19,0.000000953674316,0.457949312691948
1,1,0.000000953674316,0.457949312691948
1,2,0.000018119812012,0.341055836101047
1,3,0.000163078308105,0.246046134180541
1,4,0.000924110412598,0.169200015067531
1,5,0.003696441650391,0.108233599603459
1,6,0.011089324951172,0.061660812764318
1,7,0.025875091552734,0.028497953965974
1,8,0.048053741455078,0.008111622244937
1,9,0.072080612182617,0.000137008773969
1,10,0.088098526000977,0.004436148850210
1,11,0.088098526000977,0.021083097539049
1,12,0.072080612182617,0.050371822346594
1,13,0.048053741455078,0.092849024600861
1,14,0.025875091552734,0.149381764385542
1,15,0.011089324951172,0.221283574167982
1,16,0.003696441650391,0.310554679639407
1,17,0.000924110412598,0.420381369956478
1,18,0.000163078308105,0.556354748207306
1,19,0.000018119812012,0.730490029637687
1,20,0.000000953674316,1.000000000000527
