"MESO1","PROBABILITY","INFORMATION"
0,0.000976562500000,0.389868100256081
1,0.009765625000000,0.239662276899790
2,0.043945312500000,0.131188435899080
3,0.117187500000000,0.057278118729505
4,0.205078125000000,0.014175485808297
5,0.246093750000000,0.000000000000001
6,0.205078125000000,0.014175485808294
7,0.117187500000000,0.057278118729501
8,0.043945312500000,0.131188435899080
9,0.009765625000000,0.239662276899796
10,0.000976562500000,0.389868100256082
